"Estacion","Fecha inicial","Fecha final","PM2.5"
"CAJICA - UMNG","2025-05-15","","8.63083333"
"CAJICA - UMNG","2025-05-14","","6.33416667"
"CAJICA - UMNG","2025-05-13","","5.16708333"
"CAJICA - UMNG","2025-05-12","","6.40333333"
"CAJICA - UMNG","2025-05-11","","2.6475"
"CAJICA - UMNG","2025-05-10","","3.94416667"
"CAJICA - UMNG","2025-05-09","","10.24541667"
"CAJICA - UMNG","2025-05-08","","10.88875"
"CAJICA - UMNG","2025-05-07","","6.89583333"
"CAJICA - UMNG","2025-05-06","","10.05708333"
"CAJICA - UMNG","2025-05-05","","6.36916667"
"CAJICA - UMNG","2025-05-04","","11.97375"
"CAJICA - UMNG","2025-05-03","","5.95041667"
"CAJICA - UMNG","2025-05-02","","12.14583333"
"CAJICA - UMNG","2025-05-01","","10.74833333"
"CAJICA - UMNG","2025-04-30","","7.94625"
"CAJICA - UMNG","2025-04-29","","13.16583333"
"CAJICA - UMNG","2025-04-28","","8.22208333"
"CAJICA - UMNG","2025-04-27","","8.81166667"
"CAJICA - UMNG","2025-04-26","","9.81541667"
"CAJICA - UMNG","2025-04-25","","15.06"
"CAJICA - UMNG","2025-04-24","","16.41041667"
"CAJICA - UMNG","2025-04-23","","16.285"
"CAJICA - UMNG","2025-04-22","","19.62458333"
"CAJICA - UMNG","2025-04-21","","10.00458333"
"CAJICA - UMNG","2025-04-20","","5.8575"
"CAJICA - UMNG","2025-04-19","","9.64541667"
"CAJICA - UMNG","2025-04-18","","11.6825"
"CAJICA - UMNG","2025-04-17","","18.2475"
"CAJICA - UMNG","2025-04-16","","23.7725"
"CAJICA - UMNG","2025-04-15","","19.17666667"
"CAJICA - UMNG","2025-04-14","","15.62"
"CAJICA - UMNG","2025-04-13","","14.47833333"
"CAJICA - UMNG","2025-04-12","","14.78458333"
"CAJICA - UMNG","2025-04-11","","8.81125"
"CAJICA - UMNG","2025-04-10","","6.07291667"
